,Normal 400 Rogue 10,Normal 300 Rogue 10,Normal 200 Rogue 10
8.05,42.66666666666667,,
8.06,42.22222222222222,,
8.07,39.55555555555556,,
8.08,49.77777777777778,,
8.09,51.55555555555556,,
8.1,57.333333333333336,,
8.11,47.77777777777778,,
8.12,43.77777777777778,,
8.13,47.55555555555556,,
8.14,49.77777777777778,,
8.15,55.333333333333336,,
8.16,59.111111111111114,,
8.17,51.33333333333333,,
8.18,48.888888888888886,,
8.19,53.333333333333336,,
8.2,50.66666666666667,,
8.21,48.44444444444444,,
8.22,47.77777777777778,,
8.23,43.55555555555555,,
8.24,44.22222222222222,,
8.25,38.0,,
8.26,44.22222222222222,,
8.27,43.333333333333336,,
8.28,35.333333333333336,,
8.29,38.0,,
8.3,42.22222222222222,,
8.31,41.77777777777778,,
8.32,34.0,,
8.33,42.22222222222222,,
8.34,42.888888888888886,,
8.35,40.22222222222222,,
8.36,47.11111111111111,,
8.37,51.77777777777778,,
8.38,43.111111111111114,,
8.39,50.0,,
8.4,39.77777777777778,,
8.41,39.33333333333333,,
8.42,37.55555555555555,,
8.43,51.11111111111111,,
8.44,55.77777777777778,,
